Nrun	ID	Time	Size	A	B	Width	Length	Dis	Miss	Azwidth	Alpha
1	000010	15:59:01,542.247.870	55	0.285	-16.897	1.020	2.007	16.252	16.249	5.049	1.553
1	000014	15:59:01,558.835.010	52	-2.904	21.890	0.986	1.820	14.851	7.126	1.532	0.500
1	000024	15:59:01,633.642.980	485	-1.646	-6.498	1.285	2.561	16.957	3.374	2.814	0.200
1	000028	15:59:01,654.668.020	57	1.270	37.709	0.744	2.288	23.374	23.325	8.313	1.506
1	000030	15:59:01,669.731.650	102	-0.585	22.159	0.989	1.976	21.679	19.124	3.540	1.080
1	000040	15:59:01,704.527.060	357	-1.350	-38.694	1.206	2.948	23.224	23.027	15.752	1.440
1	000061	15:59:01,812.370.210	72	-3.513	32.893	0.988	2.255	25.126	9.006	1.473	0.367
1	000103	15:59:02,063.813.430	572	1.221	0.914	3.207	5.514	4.383	0.579	17.381	0.133
1	000121	15:59:02,148.520.220	58	3.209	-36.612	0.780	2.080	18.607	10.893	2.404	0.625
1	000127	15:59:02,180.704.150	49	0.102	2.789	1.075	2.127	12.363	2.775	1.187	0.226
1	000201	15:59:02,575.985.100	94	-2.195	17.948	1.653	3.910	30.316	7.441	3.756	0.248
1	000208	15:59:02,606.957.300	71	3.872	103.982	1.054	2.392	26.226	26.003	7.809	1.440
1	000242	15:59:02,805.716.290	68	1.304	-4.924	0.853	2.137	18.432	2.997	1.185	0.163
1	000260	15:59:02,882.626.890	177	0.903	40.473	0.554	2.707	30.845	30.042	13.831	1.342
1	000263	15:59:02,900.075.330	166	1.691	-12.621	0.996	2.717	11.583	6.425	5.024	0.588
1	000265	15:59:02,903.460.860	354	0.952	-50.253	1.534	5.040	36.392	36.392	24.474	1.568
1	000269	15:59:02,921.119.340	398	-0.341	-14.926	1.332	4.381	16.363	14.126	21.572	1.042
1	000277	15:59:02,955.262.010	88	-2.067	6.877	0.894	2.987	18.691	2.995	1.265	0.161
1	000278	15:59:02,956.275.490	499	2.472	-36.186	2.080	4.129	13.630	13.571	24.205	1.478
1	000287	15:59:03,033.000.930	99	-0.528	16.825	0.922	2.179	27.916	14.878	2.006	0.562
1	000293	15:59:03,075.051.020	156	-0.847	17.557	2.793	8.658	13.889	13.399	82.050	1.304
1	000304	15:59:03,157.784.200	70	-1.999	20.191	1.274	11.355	20.060	9.034	21.101	0.467
1	000307	15:59:03,161.800.070	122	-0.820	9.809	1.358	9.834	18.068	7.584	17.952	0.433
1	000309	15:59:03,167.550.610	494	0.611	-4.196	2.437	3.470	12.157	3.581	12.329	0.299
1	000324	15:59:03,250.172.360	51	1.528	-39.504	0.648	4.895	27.058	21.632	15.542	0.926
1	000340	15:59:03,335.750.010	979	-1.058	45.201	1.960	3.688	33.759	31.042	22.670	1.167
