Nrun	ID	Time	Size	A	B	Width	Length	Dis	Miss	Azwidth	Alpha
1	000010	15:59:01,542.247.870	55	0.285	-8.782	1.020	2.007	10.640	8.446	3.885	0.917
1	000014	15:59:01,558.835.010	52	-2.904	4.232	0.986	1.820	5.095	1.378	1.225	0.274
1	000024	15:59:01,633.642.980	485	-1.646	-13.988	1.285	2.561	10.410	7.263	6.395	0.772
1	000028	15:59:01,654.668.020	57	1.270	53.783	0.744	2.288	33.325	33.267	8.330	1.512
1	000030	15:59:01,669.731.650	102	-0.585	23.239	0.989	1.976	28.409	20.056	2.700	0.784
1	000040	15:59:01,704.527.060	357	-1.350	-43.796	1.206	2.948	26.851	26.063	15.013	1.328
1	000061	15:59:01,812.370.210	72	-3.513	10.319	0.988	2.255	31.384	2.825	1.001	0.090
1	000103	15:59:02,063.813.430	572	1.221	16.587	3.207	5.514	11.150	10.511	44.788	1.231
1	000121	15:59:02,148.520.220	58	3.209	-4.875	0.780	2.080	18.286	1.450	1.139	0.079
1	000127	15:59:02,180.704.150	49	0.102	9.426	1.075	2.127	10.444	9.377	3.963	1.115
1	000201	15:59:02,575.985.100	94	-2.195	6.011	1.653	3.910	38.098	2.492	3.625	0.065
1	000208	15:59:02,606.957.300	71	3.872	141.066	1.054	2.392	35.966	35.277	7.696	1.375
1	000242	15:59:02,805.716.290	68	1.304	11.410	0.853	2.137	19.763	6.944	1.403	0.359
1	000260	15:59:02,882.626.890	177	0.903	53.567	0.554	2.707	40.060	39.761	14.184	1.449
1	000263	15:59:02,900.075.330	166	1.691	6.840	0.996	2.717	9.425	3.482	2.161	0.378
1	000265	15:59:02,903.460.860	354	0.952	-36.758	1.534	5.040	26.677	26.620	23.741	1.505
1	000269	15:59:02,921.119.340	398	-0.341	-11.883	1.332	4.381	21.037	11.247	10.185	0.564
1	000277	15:59:02,955.262.010	88	-2.067	-4.026	0.894	2.987	9.867	1.753	1.405	0.179
1	000278	15:59:02,956.275.490	499	2.472	-10.414	2.080	4.129	5.317	3.906	15.071	0.825
1	000287	15:59:03,033.000.930	99	-0.528	18.363	0.922	2.179	21.281	16.239	3.715	0.868
1	000293	15:59:03,075.051.020	156	-0.847	16.516	2.793	8.658	14.078	12.604	74.631	1.109
1	000304	15:59:03,157.784.200	70	-1.999	9.831	1.274	11.355	10.102	4.399	19.842	0.451
1	000307	15:59:03,161.800.070	122	-0.820	8.983	1.358	9.834	27.239	6.945	8.201	0.258
1	000309	15:59:03,167.550.610	494	0.611	6.555	2.437	3.470	16.472	5.594	10.791	0.346
1	000324	15:59:03,250.172.360	51	1.528	-21.332	0.648	4.895	20.369	11.681	8.283	0.611
1	000340	15:59:03,335.750.010	979	-1.058	42.448	1.960	3.688	29.360	29.151	23.124	1.452
1	000376	15:59:03,526.686.400	109	0.793	6.241	0.881	3.165	5.035	4.890	12.928	1.330
1	000391	15:59:03,587.038.170	135	-382.372	-7106.353	1.255	2.381	19.418	18.585	6.458	1.277
1	000403	15:59:03,662.483.410	171	0.391	8.565	2.323	5.391	22.675	7.977	10.869	0.359
1	000413	15:59:03,706.670.040	89	0.038	-13.753	0.957	2.083	17.802	13.743	4.959	0.882
1	000455	15:59:03,889.703.440	86	0.597	14.850	1.157	1.967	13.885	12.750	3.707	1.164
1	000473	15:59:03,997.366.870	86	-3.134	62.024	1.037	1.678	27.303	18.853	2.386	0.762
1	000484	15:59:04,059.898.030	361	0.858	-34.391	1.401	3.940	26.646	26.102	24.947	1.368
1	000485	15:59:04,067.460.990	163	-0.871	-25.583	0.958	2.198	27.154	19.290	5.570	0.790
1	000498	15:59:04,153.389.830	101	-0.349	13.252	0.812	2.831	35.288	12.512	1.793	0.362
1	000504	15:59:04,193.621.450	65	1.760	46.692	1.030	1.554	25.589	23.067	3.165	1.123
1	000526	15:59:04,287.121.190	75	0.719	8.865	1.081	7.867	12.186	7.196	21.661	0.632
1	000533	15:59:04,340.205.740	2723	-28.901	277.728	5.011	7.514	16.493	9.604	62.252	0.622
1	000542	15:59:04,372.273.740	359	3.371	5.159	1.362	9.417	15.873	1.467	5.091	0.093
1	000581	15:59:04,548.803.250	168	-0.704	5.783	1.473	2.820	14.841	4.729	3.546	0.324
1	000594	15:59:04,598.304.000	66	0.532	-4.638	1.253	1.902	12.755	4.095	1.770	0.327
1	000630	15:59:04,795.208.360	83	21.976	545.615	1.112	2.595	31.002	24.802	5.939	0.927
1	000681	15:59:05,070.877.440	519	-1.784	11.756	3.812	7.413	22.942	5.749	28.637	0.253
1	000690	15:59:05,121.822.800	16476	29.633	-422.035	1.892	2.519	25.280	14.234	14.928	0.598
1	000698	15:59:05,163.820.160	66	-0.194	-16.951	0.984	1.805	29.002	16.642	1.742	0.611
1	000700	15:59:05,182.432.210	108	-0.136	24.464	1.677	2.212	26.729	24.241	7.509	1.136
1	000718	15:59:05,260.634.920	123	-0.143	25.145	1.155	2.808	38.180	24.891	5.857	0.710
1	000748	15:59:05,384.706.180	278	-44.549	-222.920	1.549	1.632	19.340	5.003	3.343	0.262
1	000787	15:59:05,552.925.940	66	-13.206	-74.557	1.189	2.223	18.395	5.630	1.651	0.311
1	000795	15:59:05,605.887.460	109	-1.931	-27.302	0.998	2.229	20.253	12.557	3.549	0.669
1	000804	15:59:05,640.808.140	76	-123.068	544.951	0.887	3.109	6.236	4.428	5.715	0.790
1	000823	15:59:05,754.904.810	138	0.273	35.976	0.820	6.775	37.709	34.706	43.542	1.169
1	000829	15:59:05,777.888.480	93	1.236	12.680	0.891	1.726	21.656	7.977	1.471	0.377
1	000836	15:59:05,801.533.150	134	-1.369	16.369	1.166	2.136	15.319	9.654	3.108	0.682
1	000896	15:59:06,113.497.810	200	-0.167	3.582	1.448	4.466	7.576	3.533	8.314	0.485
1	000904	15:59:06,136.792.430	1280	1.070	-21.374	1.849	8.260	14.650	14.598	109.047	1.486
1	000913	15:59:06,157.837.660	110	-0.450	8.950	2.534	5.323	19.200	8.162	11.702	0.439
1	000962	15:59:06,432.200.210	84	-1.827	33.486	0.697	2.522	18.859	16.081	6.435	1.021
1	000968	15:59:06,456.691.520	1920	0.416	-25.200	1.441	3.049	23.682	23.263	17.445	1.382
1	000980	15:59:06,552.416.070	86	4.753	6.662	1.154	3.565	3.796	1.372	4.134	0.370
1	000989	15:59:06,594.995.560	247	-1.283	-19.267	1.162	2.142	39.565	11.843	1.796	0.304
1	000990	15:59:06,612.304.650	59	0.451	9.254	0.948	14.162	17.786	8.435	38.923	0.494
1	001001	15:59:06,645.591.920	101	1.420	-19.290	1.770	10.427	14.472	11.107	63.536	0.875
1	001040	15:59:06,892.060.430	272	0.401	-26.746	0.979	7.104	25.053	24.821	103.193	1.435
1	001046	15:59:06,932.470.960	288	0.779	-31.990	1.526	4.260	25.237	25.236	16.390	1.562
1	001074	15:59:07,076.402.440	70	-1.414	7.682	0.710	2.528	30.495	4.436	0.869	0.146
1	001100	15:59:07,191.391.030	237	-6.192	68.666	0.519	26.109	11.179	10.947	432.164	1.367
1	001118	15:59:07,269.848.750	103	0.175	26.848	1.409	2.513	28.662	26.448	5.349	1.175
1	001125	15:59:07,295.738.320	630	4.282	158.305	1.763	3.277	36.395	36.000	15.631	1.423
1	001127	15:59:07,301.591.810	87	12.025	173.585	0.997	3.044	14.472	14.385	8.616	1.461
1	001187	15:59:07,586.981.690	177	-1.480	22.182	1.102	4.236	30.421	12.418	5.286	0.420
1	001197	15:59:07,653.585.700	141	-0.066	2.194	1.072	4.106	5.080	2.189	3.980	0.446
1	001200	15:59:07,666.586.950	41	7.685	229.026	1.623	1.747	29.614	29.552	3.375	1.506
1	001212	15:59:07,719.678.950	417	3.303	-9.762	1.400	7.259	17.623	2.829	4.745	0.161
1	001224	15:59:07,816.657.630	139	0.078	3.886	4.417	8.356	20.869	3.875	21.229	0.187
1	001266	15:59:08,040.492.410	65	1.403	1.789	1.578	1.981	15.839	1.038	2.768	0.066
1	001303	15:59:08,248.200.550	64	-0.517	-27.568	0.893	1.940	28.572	24.485	3.970	1.029
1	001321	15:59:08,369.304.890	122	3.030	33.555	1.029	6.806	10.521	10.518	51.005	1.545
1	001327	15:59:08,386.954.390	81	-0.234	-21.998	0.929	1.629	23.696	21.419	2.745	1.129
1	001332	15:59:08,439.160.200	47	-1.220	-23.961	0.927	2.106	15.424	15.190	4.992	1.396
1	001343	15:59:08,495.110.720	76	-0.823	12.886	0.876	1.881	11.588	9.949	4.515	1.033
1	001350	15:59:08,523.907.990	58	-1.199	-17.005	0.790	2.767	17.364	10.890	4.366	0.678
1	001355	15:59:08,548.906.010	327	1.231	-35.759	1.264	3.128	24.833	22.548	16.896	1.138
1	001363	15:59:08,581.360.540	344	-1.125	-1.614	4.989	15.743	18.613	1.072	15.906	0.058
1	001412	15:59:08,808.870.060	64	0.414	9.157	0.000	3.134	11.724	8.460	5.857	0.806
1	001424	15:59:08,849.725.950	892	-0.632	5.384	2.330	3.775	25.393	4.551	11.808	0.180
1	001438	15:59:08,938.949.930	295	0.150	11.368	2.745	7.499	26.743	11.243	21.668	0.434
1	001446	15:59:08,983.912.560	571	62.071	1538.714	1.783	3.410	29.586	24.786	16.530	0.993
